Nom du pays	Code Pays	Population	Croissance de la population (% annuel)	Part des revenus détenus par les 20% les plus pauvres	Espérance de vie à la naissance (années)	Nombre d'enfants par femme	Taux de mortalité infantile (pour 1 000)	PIB ($ US courants)	Croissance du PIB (% annuel)	Agriculture (% du PIB)	Industrie (% du PIB)	Dépenses militaires (% du PIB)	Abonnements à la téléphonie mobile (pour 100 habitants)	Exportations de haute technologie (% des exportations de biens manufacturés)	Commerce de marchandises (% du PIB)	Investissements directs étrangers, entrées  (IDE, $ US courants)	PIB par habitant ($ US courants)
Qatar	QAT	2832067	1,795285051	..	80,227	1,846	6,5	175838000000	0,774808391	0,230041116	56,88718276	..	138,3290367	0,002503856	58,07235111	-2812637363	62088,06183
Roumanie	ROU	19366221	-0,547516188	..	75,45853659	1,76	7	250077000000	4,152627412	4,102620185	28,16288911	2,037109776	117,0747154	11,07256524	69,33972021	7365441774	12913,07396
Fédération de Russie	RUS	144406261	-0,049568665	..	73,08390244	1,504	5,8	1699880000000	1,341875441	3,448292072	32,16630339	3,878588303	164,3876311	13,00276494	39,67629229	31974770000	11584,99538
Rwanda	RWA	12626950	2,607652645	..	69,024	3,99	34,3	10354417725	9,428675224	23,54719582	18,88981516	1,186027809	76,49153596	10,55160075	37,36569359	384461863,6	820,0252417
Samoa	WSM	197097	0,491828867	..	73,321	3,83	15	852250191	3,580625558	9,754449529	15,58594491	..	..	2,279035222	51,27602254	1019329,508	4324,014018
Saint-Marin	SMR	33860	0,22174597	..	..	..	1,7	..	..	..	..	..	114,4418193	..	..	..	..
Sao Tomé-et-Principe	STP	215056	1,890763323	..	70,385	4,267	29,8	418637389	1,301623446	12,4625608	12,32906676	..	77,07806339	17,03026394	38,45810342	24346838,65	1946,643614
Arabie saoudite	SAU	34268528	1,673111729	..	75,133	2,275	6,6	792967000000	0,331435729	2,233336375	47,43127269	7,979832993	120,5147446	0,648362934	52,30559212	4562573671	23139,79866
Sénégal	SEN	16296364	2,749747408	..	67,941	4,556	45,3	23578084052	5,271192358	14,79156783	24,3804687	1,450063017	109,721371	0,935341144	52,24343069	983338154	1446,830965
Serbie	SRB	6945235	-0,536610018	..	75,68536585	1,52	5,3	51475016532	4,24851344	5,953788831	25,57405785	2,220247418	96,37095905	..	90,06310852	4268709250	7411,558649
Seychelles	SYC	97625	0,887925293	..	73,94390244	2,34	14,2	1703387387	5,312514161	2,304932134	10,98159442	1,332291957	198,1522217	2,19832182	98,92053989	228198923,2	17448,27029
Sierra Leone	SLE	7813215	2,109075252	..	54,696	4,169	109,2	4121733705	5,507686458	54,34143905	5,237131874	0,73496769	86,13360825	..	52,47791717	342447726,8	527,5336344
Singapour	SGP	5703569	1,144283307	..	83,49756098	1,14	2,5	372063000000	0,733309935	0,029670919	24,49160969	3,207594557	155,6474064	52,12820793	201,5868153	105466000000	65233,28244
Sint Maarten (Dutch part)	SXM	40733	0,194134259	..	..	..	..	..	..	..	..	..	..	..	..	55277704,1	..
République slovaque	SVK	5454147	0,135328073	..	77,47073171	1,56	5,8	105080000000	2,317023455	2,466107319	28,72078641	1,755998857	135,5967816	9,912570585	171,0273689	2312686694	19266,0141
Slovénie	SVN	2088385	0,696304046	..	81,2804878	1,61	2,1	54174227309	3,184341624	2,005825235	28,88777655	1,05353081	120,8464227	7,354029839	164,1924665	1709955186	25940,72803
Îles Salomon	SLB	669823	2,565385064	..	72,996	4,361	19,7	1589913622	1,194928396	..	..	..	71,37945398	..	66,10422008	32787092,72	2373,63247
Somalie	SOM	15442905	2,855602116	..	57,397	5,978	117	4942319041	..	..	..	..	..	..	..	447000000	320,038169
Afrique du Sud	ZAF	58558267	1,31629201	..	64,131	2,381	34,5	351432000000	0,152583317	1,884542463	25,99922187	0,976948136	165,5999383	4,894529683	56,21434507	4624502604	6001,401121
Soudan du Sud	SSD	11062113	0,782224434	..	57,846	4,619	96,2	..	..	..	..	3,362341597	20,08628008	..	..	-231840000	..
Espagne	ESP	47133521	0,714923608	..	83,48536585	1,24	3,1	1393490000000	1,950126894	2,614936711	20,47796705	1,238844477	118,4398	6,860932302	50,63191946	14813334470	29564,7449
Sri Lanka	LKA	21803000	0,611875946	..	76,978	2,188	7,1	84008783756	2,283465301	7,417575763	27,39786052	1,94187122	144,3395582	..	37,94484169	758186663,2	3853,083693
Saint-Kitts-et-Nevis	KNA	52834	0,752340352	..	..	..	15,4	1053244444	2,842805326	1,39076434	25,61186598	..	..	..	38,07283315	92266666,67	19934,97453
Sainte-Lucie	LCA	182790	0,494134202	..	76,203	1,424	22,3	2122450630	1,728838432	2,011141314	9,967218711	..	..	10,54759421	30,76632224	30640740,74	11611,41545
Saint-Martin (fr)	MAF	38002	1,961107678	..	79,97317073	1,81	..	..	..	..	..	..	..	..	..	..	..
Saint-Vincent-et-les Grenadines	VCT	110589	0,343298993	..	72,534	1,872	14,6	824718518,5	0,494924137	7,164285009	13,96031867	..	92,86637912	9,926151019	45,22755239	113066666,7	7457,509504
Soudan	SDN	42813238	2,391434033	..	65,311	4,347	58,4	30513456085	-2,503537273	11,60708963	0,959526057	1,647957233	77,11203717	..	43,16784032	825354992,3	441,5056034
Suriname	SUR	581363	0,929025561	..	71,682	2,394	18	3697371950	0,267654931	9,737080689	29,76609248	..	139,9867899	12,52179912	108,5365512	72402793,87	6359,833614
Eswatini	SWZ	1148130	1,045309194	..	60,194	2,958	49,4	4471598727	2,243919525	8,454585132	34,09354922	1,823258322	..	0,274638735	85,78587289	127970922	3894,679807
Suède	SWE	10278887	1,013722263	..	82,95853659	1,7	2,6	530884000000	1,260980055	1,444411142	22,18252897	1,120598539	128,4911022	14,6126695	60,15195011	16836299507	51647,99156
Suisse	CHE	8575280	0,713313668	..	83,70487805	1,48	4	703082000000	0,928832412	0,654732413	25,60408867	0,728114189	126,0455236	12,91396374	84,16708631	37313310481	81989,44351
République arabe syrienne	SYR	17070135	0,96451174	..	72,697	2,771	21,5	..	..	..	..	..	113,5761609	..	..	..	..
Tadjikistan	TJK	9321018	2,390546289	..	71,097	3,556	33,8	8116626794	7,011268985	..	..	..	..	..	56,6737897	212809730,7	870,7875893
Tanzanie	TZA	58005463	2,951681673	..	65,456	4,832	50,3	63177068175	5,791371376	..	..	1,316926885	82,20817408	..	22,8833031	990626173,7	1122,12181
Thaïlande	THA	69625582	0,283426556	7,7	77,15	1,514	9	543549000000	2,354693911	7,984295466	33,41354243	1,339318604	186,1585875	23,61064719	88,77378611	4816635832	7806,742211
Timor-Leste	TLS	1293119	1,963835583	..	69,495	3,943	44,2	2017924900	18,7235248	14,18536438	29,37277795	1,049478873	110,2184718	..	36,91911428	74580323,02	1560,509822
Togo	TGO	8082366	2,420335208	..	61,042	4,259	66,9	5490272413	5,338669812	22,54578525	15,42630574	3,124631677	77,19500701	0,147649582	59,6327423	133312924,1	679,2902491
Tonga	TON	104494	1,248987063	..	70,907	3,518	16,6	512350059,4	0,734030017	..	..	..	59,4330775	..	50,35619597	1742414,095	4903,152903
Trinité-et-Tobago	TTO	1394973	0,36734766	..	73,507	1,711	17,5	24269714810	-0,00281	1,108707062	43,65713185	0,735762957	155,1087369	..	62,11445053	183972765,3	17397,98176
Tunisie	TUN	11694719	1,113643743	..	76,699	2,174	16,9	38796687568	1,043045338	10,37464096	22,73733585	2,556073214	126,3052836	6,885865649	94,04926628	810173457,7	3317,453593
Turquie	TUR	83429615	1,339260351	5,4	77,691	2,055	10	761425000000	0,916534797	6,423208383	27,19211702	2,718365933	96,83716867	3,043567807	51,37442866	9266000000	9126,561346
Turkménistan	TKM	5942089	1,546389218	..	68,191	2,74	42	..	..	..	..	..	..	..	..	2165862500	..
Îles Turques-et-Caïques	TCA	38191	1,386860448	..	..	..	..	1197415000	5,324557297	0,360359608	11,86664607	..	..	..	29,81422481	26961666,67	31353,32932
Tuvalu	TUV	11646	1,192032773	..	..	..	23,9	47271463,33	9,756097561	..	..	..	..	..	61,34779412	298862,0826	4059,029996
Ouganda	UGA	44269594	3,555740529	..	63,368	4,824	45,8	35165157017	6,803326813	23,05150806	26,29989208	2,050106329	57,36556563	..	31,25252646	1266026788	794,3410779
Ukraine	UKR	44386203	-0,53099416	9,7	71,82731707	1,228	8,4	153781000000	3,233491188	9,009088796	22,56368246	3,356164643	130,6294363	..	71,96789607	5833000000	3659,031312
Émirats arabes unis	ARE	9770529	1,438780445	..	77,972	1,387	7,5	421142000000	1,677720371	0,730840171	46,16036914	..	200,6320743	2,162975059	138,6355739	13787465940	43103,32306
Royaume-Uni	GBR	66836327	0,564131113	..	81,20487805	1,65	4,3	2829110000000	1,462658202	0,610660917	17,4206874	1,743458811	119,8975178	23,46813032	41,19609113	2236675458	42328,90026
États-Unis	USA	328239523	0,473953539	..	78,78780488	1,705	6,5	21433200000000	2,161176288	..	..	3,413106668	134,4588794	18,93354799	19,64522746	351631000000	65297,51751
Uruguay	URY	3461734	0,359859761	5,8	77,911	1,963	7,1	56045912953	0,222121728	5,899620456	24,17676071	2,018775761	138,0749359	8,271266734	28,41955668	1189230715	16190,12696
Ouzbékistan	UZB	33580350	1,876470167	..	71,725	2,785	17,4	57921286440	5,563723953	25,51586136	33,15585534	..	101,2075903	0,725248058	61,96340276	2317206627	1724,856544
Vanuatu	VUT	299882	2,430920193	..	70,474	3,744	25,9	934239973,8	3,264589732	..	..	..	88,44112017	..	36,17914128	41000000	3115,35862
Venezuela	VEN	28515829	-1,235041146	..	72,064	2,25	24,2	..	..	..	..	..	47,25896975	..	..	934000000	..
Viet Nam	VNM	96462106	0,960110494	..	75,4	2,05	19,9	261921000000	7,017434882	13,95647559	34,48966334	..	141,2268627	40,43606065	197,8365674	16120000000	2715,276036
Îles Vierges (EU)	VIR	106669	-0,310759833	..	79,66829268	2,05	..	..	..	..	..	..	..	..	..	..	..
Cisjordanie et Gaza	PSE	4685306	2,511782463	..	74,053	3,56	19,4	..	0,949014485	..	..	..	86,32538513	1,806630639	..	121633487,4	..
Yémen, Rép. du	YEM	29161922	2,300580114	..	66,125	3,7	58,4	22581081994	2,097414361	5,702669543	40,60737235	..	..	..	52,43769986	-370982777,8	774,3344898
Zambie	ZMB	17861030	2,892372927	..	63,886	4,559	61,7	23309773923	1,441784548	2,860718458	34,94203675	1,211039086	96,41441171	2,313785373	61,22753506	547967909,6	1305,063254
Zimbabwe	ZWE	14645468	1,419681046	..	61,49	3,531	54,6	21440758800	-8,100000199	..	..	0,698600973	90,10228966	4,954689112	36,23472505	280000000	1463,98591
